"FRef_ID","Cross_FRef_ID","Title","Authors","Ref_Year","Start_page","Journal","Volume","PubMed","Remark"
118,,"Adenovirus-mediated p53 gene therapy in osteosarcoma cell lines: sensitization to cisplatin and doxorubicin","Ganjavi H;Gee M;Narendran A;Parkinson N;Krishnamoorthy M;Freedman MH;Malkin D;",2005,,"Cancer Gene Ther",,"16211088",""
119,,"The chaperone-associated ubiquitin ligase CHIP is able to target p53 for proteasomal degradation","Esser C;Scheffner M;Hohfeld J;",2005,27443,"J Biol Chem",280,"15911628",""
120,,"p53 modulates homologous recombination by transcriptional regulation of the RAD51 gene","Arias-Lopez C;Lazaro-Trueba I;Kerr P;Lord CJ;Dexter T;Iravani M;Ashworth A;Silva A;",2006,219,"EMBO Rep",7,"16322760",""
121,,"The interaction of p53 with replication protein A mediates suppression of homologous recombination","Romanova LY;Willers H;Blagosklonny MV;Powell SN;",2004,9025,"Oncogene",23,"15489903",""
122,,"p53 interacts with hRAD51 and hRAD54, and directly modulates homologous recombination","Linke SP;Sengupta S;Khabie N;Jeffries BA;Buchhop S;Miska S;Henning W;Pedeux R;Wang XW;Hofseth LJ;Yang Q;Garfield SH;Sturzbecher HW;Harris CC;",2003,2596,"Cancer Res",63,"12750285",""
123,,"p53 mutated in the transactivation domain retains regulatory functions in homology-directed double-strand break repair","Boehden GS;Akyuz N;Roemer K;Wiesmuller L;",2003,4111,"Oncogene",22,"12821945",""
124,123,"DNA substrate dependence of p53-mediated regulation of double-strand break repair","Akyuz N;Boehden GS;Susse S;Rimek A;Preuss U;Scheidtmann KH;Wiesmuller L;",2002,6306,"Mol Cell Biol",22,"12167722",""
125,,"Mutant p53 can provoke apoptosis in p53-deficient Hep3B cells with delayed kinetics relative to wild-type p53","Stahler F;Roemer K;",1998,3507,"Oncogene",17,"10030675",""
126,,"The temperature sensitive mutant p53-143ala extends in vitro life span, promotes errors in DNA replication and impairs DNA repair in normal human oral keratinocytes","Liu X;Nishitani J;McQuirter JL;Baluda MA;Park NH;",2001,1169,"Cell Mol Biol",47,"11838964","NHOK= normal human oral keratinocytes"
127,,"Regulation of expression of the multidrug resistance protein MRP1 by p53 in human prostate cancer cells","Sullivan GF;Yang JM;Vassil A;Yang J;Bash-Babula J;Hait WN;",2000,1261,"J Clin Invest",105,"10792001",""
128,,"Phosphorylation of human p53 at serine 46 determines promoter selection and whether apoptosis is attenuated or amplified","Mayo LD;Seo YR;Jackson MW;Smith ML;Rivera GJ;Korgaonkar CK;Donner DB;",2005,25953,"J Biol Chem",280,"15843377",""
129,,"Inhibition of the putative tumor suppressor gene TIMP-3 by tumor-derived p53 mutants and wild type p53","Loging WT;Reisman D;",1999,7608,"Oncogene",18,"10602522",""
130,129,"Localization of a mutant p53 response element on the Tissue Inhibitor of Metalloproteinase-3 promoter: Mutant p53 activities are distinct from wild-type","Thomas S;Reisman D;",2005,,"Cancer Lett",,"16236433",""
131,,"Clinical relevance of dominant-negative p73 isoforms for responsiveness to chemotherapy and survival in ovarian cancer: evidence for a crucial p53-p73 cross-talk in vivo","Concin N;Hofstetter G;Berger A;Gehmacher A;Reimer D;Watrowski R;Tong D;Schuster E;Hefler L;Heim K;Mueller-Holzner E;Marth C;Moll UM;Zeimet AG;Zeillinger R;",2005,8372,"Clin Cancer Res",11,"16322298",""
132,20,"p73 function is inhibited by tumor-derived p53 mutants in mammalian cells","Di Como CJ;Gaiddon C;Prives C;",1999,1438,"Mol Cell Biol",19,"9891077",""
133,,"A proliferative p53-responsive element mediates tumor necrosis factor alpha induction of the human immunodeficiency virus type 1 long terminal repeat","Gualberto A;Hixon ML;Finco TS;Perkins ND;Nabel GJ;Baldwin AS;",1995,3450,"Mol Cell Biol",15,"7760842",""
134,58,"Inhibition of viral and cellular promoters by human wild-type p53","Subler MA;Martin DW;Deb S;",1992,4757,"J Virol",66,"1352831","V143A activity on CMV & HIV promoters not entered: not in agreement with F-58 & F-135 respectively"
135,134,"Activation of the human immunodeficiency virus type 1 long terminal repeat by transforming mutants of human p53","Subler MA;Martin DW;Deb S;",1994,103,"J Virol",68,"8254719","V143A activity on HIV promoter not entered: not in agreement with F-134"
136,,"Mutant p53 can induce tumorigenic conversion of human bronchial epithelial cells and reduce their responsiveness to a negative growth factor, transforming growth factor beta 1","Gerwin BI;Spillare E;Forrester K;Lehman TA;Kispert J;Welsh JA;Pfeifer AM;Lechner JF;Baker SJ;Vogelstein B;.;",1992,2759,"Proc Natl Acad Sci U S A",89,"1557382",""
137,,"Transcriptional repression in normal human keratinocytes by wild-type and mutant p53","Alvarez-Salas LM;Velazquez A;Lopez-Bayghen E;Woodworth CD;Garrido E;Gariglio P;DiPaolo JA;",1995,85,"Cancer Lett",91,"7750099","NHK = Normal Human Keratinocytes"
138,,"Mutant p53 gain of function: reduction of tumor malignancy of human cancer cell lines through abrogation of mutant p53 expression","Bossi G;Lapi E;Strano S;Rinaldo C;Blandino G;Sacchi A;",2006,304,"Oncogene",25,"16170357",""
139,,"p53 functions as a cell cycle control protein in osteosarcomas","Diller L;Kassel J;Nelson CE;Gryka MA;Litwak G;Gebhardt M;Bressac B;Ozturk M;Baker SJ;Vogelstein B;.;",1990,5772,"Mol Cell Biol",10,"2233717",""
140,,"Heterogeneity of transcriptional activity of mutant p53 proteins and p53 DNA target sequences","Chen JY;Funk WD;Wright WE;Shay JW;Minna JD;",1993,2159,"Oncogene",8,"8336941",""
141,,"The 273rd codon mutants of p53 show growth modulation activities not correlated with p53-specific transactivation activity","Kawamura M;Yamashita T;Segawa K;Kaneuchi M;Shindoh M;Fujinaga K;",1996,2361,"Oncogene",12,"8649776","Removed data on not physiologically mutants + on transformation assay"
142,,"The transforming and suppressor functions of p53 alleles: effects of mutations that disrupt phosphorylation, oligomerization and nuclear translocation","Slingerland JM;Jenkins JR;Benchimol S;",1993,1029,"EMBO J",12,"8458321",""
143,,"Loss of transactivation and transrepression function, and not RPA binding, alters growth suppression by p53","Leiter LM;Chen J;Marathe T;Tanaka M;Dutta A;",1996,2661,"Oncogene",12,"8700525",""
144,70,"Mutational analysis of the carboxy-terminal portion of p53 using both yeast and mammalian cell assays in vivo","Ishioka C;Englert C;Winge P;Yan YX;Engelstein M;Friend SH;",1995,1485,"Oncogene",10,"7731702",""
145,48,"Screening patients for heterozygous p53 mutations using a functional assay in yeast","Ishioka C;Frebourg T;Yan YX;Vidal M;Friend SH;Schmidt S;Iggo R;",1993,124,"Nat Genet",5,"8252037",""
146,,"Mammalian p53 can function as a transcription factor in yeast","Scharer E;Iggo R;",1992,1539,"Nucleic Acids Res",20,"1579447",""
147,73,"Genetic mechanisms of tumor suppression by the human p53 gene","Chen PL;Chen YM;Bookstein R;Lee WH;",1990,1576,"Science",250,"2274789",""
148,,"Mutant p53 cooperates with ETS and selectively up-regulates human MDR1 not MRP1","Sampath J;Sun D;Kidd VJ;Grenet J;Gandhi A;Shapiro LH;Wang Q;Zambetti GP;Schuetz JD;",2001,39359,"J Biol Chem",276,"11483599",""
149,,"Repression of the interleukin 6 gene promoter by p53 and the retinoblastoma susceptibility gene product","Santhanam U;Ray A;Sehgal PB;",1991,7605,"Proc Natl Acad Sci U S A",88,"1652755",""
150,149,"Modulation of the human interleukin-6 promoter (IL-6) and transcription factor C/EBP beta (NF-IL6) activity by p53 species","Margulies L;Sehgal PB;",1993,15096,"J Biol Chem",268,"8325885",""
151,,"Modulation of wild-type p53 activity by mutant p53 R273H depends on the p53 responsive element (p53RE). A comparative study between the p53REs of the MDM2, WAFI/Cip1 and Bax genes in the lung cancer environment. WAFI/Cip1 = WAF1/Cip1","Zacharatos PV;Gorgoulis VG;Kotsinas A;Manolis EN;Liloglou T;Rassidakis AN;Kanavaros P;Field JD;Halazonetis T;Kittas C;",1999,579,"Anticancer Res",19,"10226602",""
152,,"Sensitivity of anticancer drugs in Saos-2 cells transfected with mutant p53 varied with mutation point","Wang LH;Okaichi K;Ihara M;Okumura Y;",1998,321,"Anticancer Res",18,"9568097",""
153,,"p53 transactivation through various p53-responsive elements","Park DJ;Chumakov AM;Miller CW;Pham EY;Koeffler HP;",1996,101,"Mol Carcinog",16,"8645424",""
154,151,"Effects of p53 mutants derived from lung carcinomas on the p53-responsive element (p53RE) of the MDM2 gene","Gorgoulis VG;Zacharatos PV;Manolis E;Ikonomopoulos JA;Damalas A;Lamprinopoulos C;Rassidakis GZ;Zoumpourlis V;Kotsinas A;Rassidakis AN;Halazonetis TD;Kittas C;",1998,374,"Br J Cancer",77,"9472631",""
155,153,"Analysis of p53 transactivation through high-affinity binding sites","Chumakov AM;Miller CW;Chen DL;Koeffler HP;",1993,3005,"Oncogene",8,"8414502",""
156,,"Response of heat shock element within the human HSP70 promoter to mutated p53 genes","Tsutsumi-Ishii Y;Tadokoro K;Hanaoka F;Tsuchida N;",1995,1,"Cell Growth Differ",6,"7718482",""
157,72,"Mutant p53 DNA clones from human colon carcinomas cooperate with ras in transforming primary rat cells: a comparison of the 'hot spot' mutant phenotypes","Hinds PW;Finlay CA;Quartin RS;Baker SJ;Fearon ER;Vogelstein B;Levine AJ;",1990,571,"Cell Growth Differ",1,"2288874",""
158,16,"Properties of p53 mutations detected in primary and secondary cervical cancers suggest mechanisms of metastasis and involvement of environmental carcinogens","Crook T;Vousden KH;",1992,3935,"EMBO J",11,"1327751",""
159,,"p53 as a growth suppressor gene in HBV-related hepatocellular carcinoma cells","Puisieux A;Ponchel F;Ozturk M;",1993,487,"Oncogene",8,"8381223",""
160,,"Chemosensitivity linked to p73 function","Irwin MS;Kondo K;Marin MC;Cheng LS;Hahn WC;Kaelin WG;",2003,403,"Cancer Cell",3,"12726865",""
161,,"Repression of the minimal HLA-B promoter by c-myc and p53 occurs through independent mechanisms","Griffioen M;Steegenga WT;Ouwerkerk IJ;Peltenburg LT;Jochemsen AG;Schrier PI;",1998,829,"Mol Immunol",35,"9839551",""
162,142,"Transforming activity of mutant human p53 alleles","Slingerland JM;Benchimol S;",1991,391,"J Cell Physiol",148,"1918170",""
163,53,"p53 levels, functional domains, and DNA damage determine the extent of the apoptotic response of tumor cells","Chen X;Ko LJ;Jayaraman L;Prives C;",1996,2438,"Genes Dev",10,"8843196",""
164,,"Mutations in proline 82 of p53 impair its activation by Pin1 and Chk2 in response to DNA damage","Berger M;Stahl N;Del Sal G;Haupt Y;",2005,5380,"Mol Cell Biol",25,"15964795","Paper rejected (R90): mutant not physiologically relevant"
165,,"Dominant-negative p53 mutations in rheumatoid arthritis","Han Z;Boyle DL;Shi Y;Green DR;Firestein GS;",1999,1088,"Arthritis Rheum",42,"10366100",""
166,,"Activation of PTHrP gene expression in squamous carcinoma cell lines by mutant isoforms of the tumor suppressor p53","Foley J;King CS;Jimenez JA;Wysolmerski JJ;Philbrick WM;",2000,71,"Oncol Res",12,"11132926",""
167,,"Clonality and stability of the p53 gene in human astrocytic tumor cells: quantitative analysis of p53 gene mutations by yeast functional assay","Tada M;Iggo RD;Ishii N;Shinohe Y;Sakuma S;Estreicher A;Sawamura Y;Abe H;",1996,447,"Int J Cancer",67,"8707423",""
168,167,"Reappraisal of p53 mutations in human malignant astrocytic neoplasms by p53 functional assay: comparison with conventional structural analyses","Tada M;Iggo RD;Waridel F;Nozaki M;Matsumoto R;Sawamura Y;Shinohe Y;Ikeda J;Abe H;",1997,171,"Mol Carcinog",18,"9115587",""
169,,"Field cancerisation and polyclonal p53 mutation in the upper aero-digestive tract","Waridel F;Estreicher A;Bron L;Flaman JM;Fontolliet C;Monnier P;Frebourg T;Iggo R;",1997,163,"Oncogene",14,"9010218",""
170,,"Yeast functional assay of the p53 gene status in human cell lines maintained in our laboratory","Mihara K;Miyazaki M;Kondo T;Fushimi K;Tsuji T;Inoue Y;Fukaya K;Ishioka C;Namba M;",1997,261,"Acta Med Okayama",51,"9359923",""
171,168,"Selective sensitivity to radiation of cerebral glioblastomas harboring p53 mutations","Tada M;Matsumoto R;Iggo RD;Onimaru R;Shirato H;Sawamura Y;Shinohe Y;",1998,1793,"Cancer Res",58,"9581814",""
172,,"Significant correlation of nitric oxide synthase activity and p53 gene mutation in stage I lung adenocarcinoma","Fujimoto H;Sasaki J;Matsumoto M;Suga M;Ando Y;Iggo R;Tada M;Saya H;Ando M;",1998,696,"Jpn J Cancer Res",89,"9738975",""
173,167,"Rare occurrence of inactivating p53 gene mutations in primary non- astrocytic tumors of the central nervous system: reappraisal by yeast functional assay","Nozaki M;Tada M;Matsumoto R;Sawamura Y;Abe H;Iggo RD;",1998,291,"Acta Neuropathol (Berl)",95,"9542595",""
174,38,"High frequency of p53 mutations in human oral epithelial dysplasia and primary squamous cell carcinoma detected by yeast functional assay","Kashiwazaki H;Tonoki H;Tada M;Chiba I;Shindoh M;Totsuka Y;Iggo R;Moriuchi T;",1997,2667,"Oncogene",15,"9400993",""
175,38,"[Analyses of p53 mutations in breast cancers with a combined use of yeast functional assay and immunohistochemical staining]","Takahashi M;",1998,275,"Hokkaido Igaku Zasshi",73,"9719952",""
176,,"p53 inactivating mutations in Chinese nasopharyngeal carcinomas","Lung ML;Hu Y;Cheng Y;Li MF;Tang CM;SK O;Iggo RD;",1998,89,"Cancer Lett",133,"9929165",""
177,176,"Detection of p53 mutations in Hong Kong colorectal carcinomas by conventional PCR-SSCP analysis versus p53 yeast functional assays","Leung CS;Lung ML;",1999,625,"Anticancer Res",19,"10226610",""
178,101,"Prognostic significance of p53 mutation in breast cancer: frequent detection of non-missense mutations by yeast functional assay","Chappuis PO;Estreicher A;Dieterich B;Bonnefoi H;Otter M;Sappino AP;Iggo R;",1999,587,"Int J Cancer",84,"10567903",""
179,,"Cells with TP53 mutations in low grade astrocytic tumors evolve clonally to malignancy and are an unfavorable prognostic factor","Ishii N;Tada M;Hamou MF;Janzer RC;Meagher-Villemure K;Wiestler OD;Tribolet N;Van Meir EG;",1999,5870,"Oncogene",18,"10557074",""
180,177,"p53 inactivating mutations in chinese breast carcinomas","Gong ZY;Wong KW;Li Y;Mao YR;Lung ML;",2000,381,"Oncol Rep",7,"10671690",""
181,38,"Distinct prognostic values of p53 mutations and loss of estrogen receptor and their cumulative effect in primary breast cancers","Takahashi M;Tonoki H;Tada M;Kashiwazaki H;Furuuchi K;Hamada J;Fujioka Y;Sato Y;Takahashi H;Todo S;Sakuragi N;Moriuchi T;",2000,92,"Int J Cancer",89,"10719737","Also cross-ref with F-175"
182,,"Clinical significance of p53 functional loss in squamous cell carcinoma of the oropharynx","Obata A;Eura M;Sasaki J;Saya H;Chikamatsu K;Tada M;Iggo RD;Yumoto E;",2000,187,"Int J Cancer",89,"10754498",""
183,,"p53 status in multiple human urothelial cancers: assessment for clonality by the yeast p53 functional assay in combination with p53 immunohistochemistry","Yamamoto S;Tada M;Lee CC;Masuda C;Wanibuchi H;Yoshimura R;Wada S;Yamamoto K;Kishimoto T;Fukushima S;",2000,181,"Jpn J Cancer Res",91,"10761705",""
184,101,"High frequency in esophageal cancers of p53 alterations inactivating the regulation of genes involved in cell cycle and apoptosis","Robert V;Michel P;Flaman JM;Chiron A;Martin C;Charbonnier F;Paillot B;Frebourg T;",2000,563,"Carcinogenesis",21,"10753186",""
185,,"Functional evaluation of p53 and PTEN gene mutations in gliomas","Kato H;Kato S;Kumabe T;Sonoda Y;Yoshimoto T;Kato S;Han SY;Suzuki T;Shibata H;Kanamaru R;Ishioka C;",2000,3937,"Clin Cancer Res",6,"11051241",""
186,,"Detection of minimal residual cancer to investigate why oral tumors recur despite seemingly adequate treatment","Partridge M;Li SR;Pateromichelakis S;Francis R;Phillips E;Huang XH;Tesfa-Selase F;Langdon JD;",2000,2718,"Clin Cancer Res",6,"10914716",""
187,,"Rare somatic p53 mutation identified in breast cancer: a case report","Smardova J;Nemajerova A;Trbusek M;Vagunda V;Kovarik J;",2001,59,"Tumour Biol",22,"11125276",""
188,,"Detection of p53 gene mutations in human esophageal squamous cell carcinomas using a p53 yeast functional assay: possible difference in esophageal carcinogenesis between the young and the elderly group","Okuda E;Osugi H;Morimura K;Takada N;Takemura M;Fukushima S;Higashino M;Kinoshita H;",2001,600,"Clin Cancer Res",7,"21190917",""
189,112,"Improving the detection of p53 mutations in breast cancer by use of the FASAY, a functional assay","Duddy PM;Hanby AM;Barnes DM;Camplejohn RS;",2000,139,"J Mol Diagn",2,"21121188",""
190,,"p53 as a potential predictive factor of response to chemotherapy: feasibility of p53 assessment using a functional test in yeast from trucut biopsies in breast cancer patients","Bonnefoi H;Ducraux A;Movarekhi S;Pelte MF;Bongard S;Lurati E;Iggo R;",2002,750,"Br J Cancer",86,"11875738",""
191,,"Loss of MDM2 expression in human head and neck squamous cell carcinomas and clinical significance","Millon R;Muller D;Schultz I;Salvi R;Ghnassia JP;Frebourg T;Wasylyk B;Abecassis J;",2001,620,"Oral Oncol",37,"11590071",""
192,,"p53 mutations are rare events in recurrent cervical cancer","Denk C;Butz K;Schneider A;Durst M;Hoppe-Seyler F;",2001,283,"J Mol Med",79,"11485021",""
193,,"Influence of p53 mutations on prognosis of patients with glioblastoma","Shiraishi S;Tada K;Nakamura H;Makino K;Kochi M;Saya H;Kuratsu J;Ushio Y;",2002,249,"Cancer",95,"12124823",""
194,,"Detection of TP53 mutation in ameloblastoma by the use of a yeast functional assay","Shibata T;Nakata D;Chiba I;Yamashita T;Abiko Y;Tada M;Moriuchi T;",2002,534,"J Oral Pathol Med",31,"12269992",""
195,,"Specific p53 mutations predict poor prognosis in oral squamous cell carcinoma","Yamazaki Y;Chiba I;Hirai A;Sugiura C;Notani K;Kashiwazaki H;Tei K;Totsuka Y;Fukuda H;",2003,163,"Oral Oncol",39,"12509970",""
196,179,"p53 gene mutation and ink4a-arf deletion appear to be two mutually exclusive events in human glioblastoma","Fulci G;Labuhn M;Maier D;Lachat Y;Hausmann O;Hegi ME;Janzer RC;Merlo A;Van Meir EG;",2000,3816,"Oncogene",19,"10949938",""
197,,"High frequency of temperature-sensitive mutations of p53 tumor suppressor in acute myeloid leukemia revealed by functional assay in yeast","Pavlova S;Mayer J;Koukalova H;Smardova J;",2003,121,"Int J Oncol",23,"12792784",""
198,131,"Comparison of p53 mutational status with mRNA and protein expression in a panel of 24 human breast carcinoma cell lines","Concin N;Zeillinger C;Tong D;Stimpfl M;Konig M;Printz D;Stonek F;Schneeberger C;Hefler L;Kainz C;Leodolter S;Haas OA;Zeillinger R;",2003,37,"Breast Cancer Res Treat",79,"12779080",""
199,,"Multiple molecular mechanisms contribute to radiation sensitivity in mantle cell lymphoma","M'kacher R;Bennaceur A;Farace F;Lauge A;Plassa LF;Wittmer E;Dossou J;Violot D;Deutsch E;Bourhis J;Stoppa-Lyonnet D;Ribrag V;Carde P;Parmentier C;Bernheim A;Turhan AG;",2003,5961,"Oncogene",22,"12970738",""
200,38,"Loss of p53 transcriptional activity in hepatocellular carcinoma evaluated by yeast-based functional assay: comparison with p53 immunohistochemistry","Mitsumoto Y;Nakajima T;Marutani M;Kashiwazaki H;Moriguchi M;Kimura H;Okanoue T;Kagawa K;Tada M;",2004,350,"Hum Pathol",35,"15017592","Also cross-ref with F-48 & F-103"
201,,"Clinical implications of p53 mutation analysis in bladder cancer tissue and urine sediment by functional assay in yeast","Schlichtholz B;Presler M;Matuszewski M;",2004,2319,"Carcinogenesis",25,"15308588",""
202,,"A modified yeast assay used on archival samples of localized prostate cancer tissue improves the detection of p53 abnormalities and increases their predictive value","Shi XB;Gandour-Edwards R;Beckett LA;Deitch AD;Vere White RW;",2004,996,"BJU Int",94,"15541116",""
203,131,"Spectrum of p53 mutations in biopsies from breast cancer patients selected for preoperative chemotherapy analysed by the functional yeast assay to predict therapeutic response","Deissler H;Kafka A;Schuster E;Sauer G;Kreienberg R;Zeillinger R;",2004,1281,"Oncol Rep",11,"15138567",""
204,,"Rapid and sensitive p53 alteration analysis in biopsies from lung cancer patients using a functional assay and a universal oligonucleotide array: a prospective study","Fouquet C;Antoine M;Tisserand P;Favis R;Wislez M;Commo F;Rabbe N;Carette MF;Milleron B;Barany F;Cadranel J;Zalcman G;Soussi T;",2004,3479,"Clin Cancer Res",10,"15161705",""
205,,"Identification of a transcriptionally inactive p53 mutant by functional analysis of separated alleles in yeasts (FASAY) in a child osteosarcoma tumor: a case report","Dekairelle AF;Brichard B;Delhez H;Gala JL;",2004,321,"Pediatr Hematol Oncol",21,"15205094",""
206,184,"Identification of human p53 mutations with differential effects on the bax and p21 promoters using functional assays in yeast","Flaman JM;Robert V;Lenglet S;Moreau V;Iggo R;Frebourg T;",1998,1369,"Oncogene",16,"9546439",""
207,1,"Inactive p53 mutants may enhance the transcriptional activity of wild-type p53","Zhang W;Shay JW;Deisseroth A;",1993,4772,"Cancer Res ",53,"8402659",""
208,1,"A temperature-sensitive mutant of human p53","Zhang W;Guo XY;Hu GY;Liu WB;Shay JW;Deisseroth AB;",1994,2535,"EMBO J ",13,"8013454","For transformation assay, not completely agree with authors' conclusion"
209,,"A functional screen for germ line p53 mutations based on transcriptional activation","Frebourg T;Barbier N;Kassel J;Ng YS;Romero P;Friend SH;",1992,6976,"Cancer Res ",52,"1458490",""
210,,"Suppression of human colorectal carcinoma cell growth by wild-type p53","Baker SJ;Markowitz S;Fearon ER;Willson JK;Vogelstein B;",1990,912,"Science",249,"2144057",""
211,,"Transcriptional activation of the human S100A2 promoter by wild-type p53","Tan M;Heizmann CW;Guan K;Schafer BW;Sun Y;",1999,265,"FEBS Lett ",445,"10094469",""
212,,"Transcriptional activation by p53 of the human type IV collagenase (gelatinase A or matrix metalloproteinase 2) promoter","Bian J;Sun Y;",1997,6330,"Mol Cell Biol ",17,"9343394",""
213,,"PTGF-beta, a type beta transforming growth factor (TGF-beta) superfamily member, is a p53 target gene that inhibits tumor cell growth via TGF-beta signaling pathway","Tan M;Wang Y;Guan K;Sun Y;",2000,109,"Proc Natl Acad Sci U S A",97,"10618379",""
214,,"Assessment of the transcriptional activity of p53 improves the prediction of recurrence in superficial transitional cell carcinoma of the bladder","Dekairelle AF;Tombal B;Cosyns JP;Gala JL;",2005,4724,"Clin Cancer Res ",11,"16000567",""
215,197,"Analysis of p53 status in human cell lines using a functional assay in yeast: detection of new non-sense p53 mutation in codon 124","Smardova J;Pavlova S;Svitakova M;Grochova D;Ravcukova B;",2005,901,"Oncol Rep ",14,"16142349",""
216,,"The biological impact of the human master regulator p53 can be altered by mutations that change the spectrum and expression of its target genes","Menendez D;Inga A;Resnick MA;",2006,2297,"Mol Cell Biol ",26,"16508005",""
217,,"Mutational analysis of the p53 core domain L1 loop","Zupnick A;Prives C;",2006,20464,"J Biol Chem ",281,"16687402",""
218,,"Tumor suppressor p53 regulates heparanase gene expression","Baraz L;Haupt Y;Elkin M;Peretz T;Vlodavsky I;",2006,3939,"Oncogene",25,"16474844",""
219,,"Gain of function of mutant p53: the mutant p53/NF-Y protein complex reveals an aberrant transcriptional mechanism of cell cycle regulation","Di Agostino S;Strano S;Emiliozzi V;Zerbini V;Mottolese M;Sacchi A;Blandino G;Piaggio G;",2006,191,"Cancer Cell",10,"16959611",""
220,,"Acetylation of the p53 DNA-binding domain regulates apoptosis induction","Sykes SM;Mellert HS;Holbert MA;Li K;Marmorstein R;Lane WS;McMahon SB;",2006,841,"Mol Cell",24,"17189187",""
221,,"Mutant p53 induces the GEF-H1 oncogene, a guanine nucleotide exchange factor-H1 for RhoA, resulting in accelerated cell proliferation in tumor cells","Mizuarai S;Yamanaka K;Kotani H;",2006,6319,"Cancer Res ",66,"16778209",""
222,,"Ribosomal protein S27L is a direct p53 target that regulates apoptosis","He H;Sun Y;",2006,,"Oncogene",,"17057733",""
223,,"p53 downregulates expression of the G1/S cell cycle phosphatase Cdc25A","Rother K;Kirschner R;Sanger K;Bohlig L;Mossner J;Engeland K;",2007,1949,"Oncogene",26,"17001315",""
224,,"Cross-talks in the p53 family: deltaNp63 is an anti-apoptotic target for deltaNp73alpha and p53 gain-of-function mutants","Lanza M;Marinari B;Papoutsaki M;Giustizieri ML;D'Alessandra Y;Chimenti S;Guerrini L;Costanzo A;",2006,1996,"Cell Cycle",5,"16931914",""
225,,"Oligomerization of p53 precedes its association with dynein and nuclear accumulation","Trostel SY;Sackett DL;Fojo T;",2006,2253,"Cell Cycle",5,"16969106",""
226,,"p53 downregulates its activating vaccinia-related kinase 1, forming a new autoregulatory loop","Valbuena A;Vega FM;Blanco S;Lazo PA;",2006,4782,"Mol Cell Biol ",26,"16782868",""
227,,"Mutant p53 protects cells from 12-O-tetradecanoylphorbol-13-acetate-induced death by attenuating activating transcription factor 3 induction","Buganim Y;Kalo E;Brosh R;Besserglick H;Nachmany I;Rais Y;Stambolsky P;Tang X;Milyavsky M;Shats I;Kalis M;Goldfinger N;Rotter V;",2006,10750,"Cancer Res ",66,"17108111",""
228,90,"Dosage-dependent dominance over wild-type p53 of a mutant p53 isolated from nasopharyngeal carcinoma","Sun Y;Dong Z;Nakamura K;Colburn NH;",1993,944,"FASEB J ",7,"8344492",""
229,,"Identification of p53-46F as a super p53 with an enhanced ability to induce p53-dependent apoptosis","Nakamura Y;Futamura M;Kamino H;Yoshida K;Nakamura Y;Arakawa H;",2006,633,"Cancer Sci ",97,"16827804",""
230,,"Functional analysis and molecular modeling show a preserved wild-type activity of p53(C238Y)","Ferrone M;Perrone F;Tamborini E;Paneni MS;Fermeglia M;Suardi S;Pastore E;Delia D;Pierotti MA;Pricl S;Pilotti S;",2006,1467,"Mol Cancer Ther ",5,"16818505",""
231,,"Tip60-dependent acetylation of p53 modulates the decision between cell-cycle arrest and apoptosis","Tang Y;Luo J;Zhang W;Gu W;",2006,827,"Mol Cell",24,"17189186",""
232,,"Dysfunctional p53 deletion mutants in cell lines derived from Hodgkin's lymphoma","Feuerborn A;Moritz C;Von Bonin F;Dobbelstein M;Trumper L;Sturzenhofecker B;Kube D;",2006,1932,"Leuk Lymphoma",47,"17065008",""
233,,"Tumour suppressor p53 down-regulates the expression of the human hepatocyte nuclear factor 4alpha (HNF4alpha) gene","Maeda Y;Hwang-Verslues WW;Wei G;Fukazawa T;Durbin ML;Owen LB;Liu X;Sladek FM;",2006,303,"Biochem J ",400,"16895524",""
234,115,"Cancer-derived p53 mutants suppress p53-target gene expression--potential mechanism for gain of function of mutant p53","Vikhanskaya F;Lee MK;Mazzoletti M;Broggini M;Sabapathy K;",2007,2093,"Nucleic Acids Res ",35,"17344317",""
