"Prognosis_ID","Ref_ID","Country_ID","Institution","Period","Topo_code","Morpho_ID","Cohort","P53_mutation","MedianFU","RangeFU","InclusionCriteria","Treatment","Parameter_analysed","Result","LOH","Polymorphism","Individual_data","Association","Bad_mutations","WT_Mut","Mut_Mut","Structure"
1,1425,1,"Charles Gairdner (Perth), Royal Perth Hospital, Flinders Medical Center (South Australia)","1987-1997","C50",3,1037,178,65.0,"1-120","consecutive primary cancers","SU, CX/RX","survival","net.sourceforge.jtds.jdbc.ClobImpl@41b0225d",false,false,true,"associated with bad","exon 4",true,false,true
2,1346,36,"Hokkaido University Hospital, Sapporo","1991-1996","C50",3,76,30,43.0,"6-81","consecutive primary cancers","CX (5FU;TAM;LH-RH)","survival","net.sourceforge.jtds.jdbc.ClobImpl@657588cb",false,false,true,"associated with bad","DNA contact",true,false,false
3,234,21,"Norwegian Radium Hospital, Oslo","1984-1989","C50",3,163,35,38.3,"0.1-94.1","consecutive primary cancers","","survival","net.sourceforge.jtds.jdbc.ClobImpl@7169d749",false,false,false,"associated with bad","",true,false,false
4,193,31,"University Hospital of Iceland, Reykjavik","<1993","C50",3,109,18,32.0,"0-60","consecutive primary cancers","","survival","net.sourceforge.jtds.jdbc.ClobImpl@3caaa616",true,false,false,"associated with bad","",true,false,false
5,1544,21,"Norwegian Radium Hospital, Oslo","","C50",16,90,26,,"","localy advanced cancer (T3/4 and/or N2); prospective study","CX (doxo)","response","net.sourceforge.jtds.jdbc.ClobImpl@7cc8d914",true,false,true,"associated with bad","L2/L3 loops",true,true,true
6,1641,25,"University of Uppsala","1987-1989","C50",3,315,69,,"0-90","consecutive primary cancers","SU, RX, CX (5FU, MTX, CP)","survival","net.sourceforge.jtds.jdbc.ClobImpl@35b23596",false,false,false,"associated with bad","conserved regions II and V",true,false,false
7,1003,27,"Rotterdam Cancer Institute","1978-1991","C50",3,177,53,115.0,"47-183","consecutive primary cancers","SU, CX (CMF; CAF); TAM","survival/response","net.sourceforge.jtds.jdbc.ClobImpl@a5e7ff6",false,true,true,"associated with bad","DNA contact",true,false,true
8,1642,54,"Mayo Clinic, Rochester","","C50",3,90,32,,"0-60","consecutive primary cancers; prospective study","SU, CX (CMF, CAF)","survival/response","net.sourceforge.jtds.jdbc.ClobImpl@632df2bd",true,false,false,"associated with bad","",true,false,false
9,1392,13,"Aarhus University Hospital","1992-1994","C50",3,315,74,,"0-60","consecutive primary cancers; retrospective study","SU, CX","survival","net.sourceforge.jtds.jdbc.ClobImpl@591797b5",false,false,false,"associated with bad","DNA/Zn binding",true,true,true
10,1173,10,"Vienna Medical School","1984-1990","C50",3,205,42,107.0,"0-168","consecutive primary cancers; ER pos.","SU, CX (CMF)","survival","net.sourceforge.jtds.jdbc.ClobImpl@7dad1784",false,false,false,"associated with bad","L2/L3 loops",true,true,true
11,1052,15,"Centre Leon Berard, Lyon","","C50",3,113,18,105.0,"0-250","consecutive primary cancers","SU, RX, CX (CAF)","survival","net.sourceforge.jtds.jdbc.ClobImpl@4f57608",false,false,false,"associated with bad","",true,false,false
12,327,54,"Vanderbilt University Hospital, Nashville","1982-1991","C50",3,192,43,48.0,"12-124","consecutive primary cancers","SU, CX","survival","net.sourceforge.jtds.jdbc.ClobImpl@8c1c431",false,false,false,"not related to","",true,true,true
13,1424,1,"Charles Gairdner, Perth","1985-1997","C18-C20",3,765,289,102.0,"33-178","retrospective study","SU, CX (5FU; levamisole)","survival","net.sourceforge.jtds.jdbc.ClobImpl@6d0e50a3",false,false,true,"not related to","",true,true,true
14,1643,14,"National cancer registry","","C20",3,98,38,32.0,"0-306","female; case-control for RX (cervical cancer 10 years before RC)","","survival","net.sourceforge.jtds.jdbc.ClobImpl@780a7bb1",false,false,false,"not related to","",true,false,false
15,1644,25,"University Hospital, Umea","1988-1992","C18-C20",3,189,99,,"0-106","consecutive primary cancers","SU, pre-op RX in 28 RC","survival","net.sourceforge.jtds.jdbc.ClobImpl@5760078e",false,false,false,"associated with bad","non-conserved regions",true,true,false
16,918,21,"Hospitals in Oslo region","1987-1989","C18-C20",3,222,102,56.8,"0.5-92.2","consecutive primary cancers","SU","survival","net.sourceforge.jtds.jdbc.ClobImpl@5186a11f",true,false,false,"associated with bad","L3 loop",true,true,true
17,555,46,"Singapore General Hospital","","C18-C20",3,192,109,24.0,"0-60","consecutive single ADC","SU, RX/CX in 54 patients","survival","net.sourceforge.jtds.jdbc.ClobImpl@4e1268c4",false,false,true,"associated with bad","non-conserved regions, codon 175",true,true,false
18,1645,54,"University of Texas Health Science Center, San Antonio","1993-1995","C18-C20",3,56,28,45.0,"3-72","consecutive primary cancers; prospective study","SU","survival","net.sourceforge.jtds.jdbc.ClobImpl@65ee4544",false,false,false,"associated with bad","",true,false,false
19,1524,27,"University Hospital Groningen","1991-1993","C18-C20",3,55,24,47.0,"32-66","consecutive primary cancers","SU, CX (5FU)","survival","net.sourceforge.jtds.jdbc.ClobImpl@32e56200",false,false,false,"not related to","",true,false,false
20,1646,21,"Norwegian National Hospital; Haukeland Hospital (Oslo)","1988-1996","C34",41,148,83,35.0,"0-144","consecutive primary cancers; prospective study","SU","survival","net.sourceforge.jtds.jdbc.ClobImpl@560fb31a",false,false,false,"associated with bad","L2/L3 loops",true,true,true
21,823,36,"Kitano Hospital; The Center for adlut disease (Osaka)","1991-1995","C34",41,204,75,31.9,"0-60","consecutive primary cancers; excluding stage 4","SU, RX, CX (Vindesine, CISP)","survival","net.sourceforge.jtds.jdbc.ClobImpl@b86a557",false,false,true,"associated with bad","exon 8",true,true,true
22,511,27,"The Netherlands Cancer Institute, Amsterdam","","C34",41,54,37,,"0-70","consecutive primary cancers","SU","survival","net.sourceforge.jtds.jdbc.ClobImpl@1c551506",false,false,false,"not related to","",true,false,false
23,1314,36,"Cancer Institute Hospital, Tokyo","1989-1993","C34",41,144,65,61.0,"2-84","consecutive primary cancers","SU, CX","survival","net.sourceforge.jtds.jdbc.ClobImpl@5b991ee",false,false,true,"associated with bad","null mutations",true,false,false
24,1204,36,"National Cancer Hospital, Tokyo","1985-1994","C34",41,103,49,51.8,"5-151","consecutive primary cancers; stage 1","SU","survival","net.sourceforge.jtds.jdbc.ClobImpl@2e057520",true,false,false,"associated with bad","missense mutations",true,false,false
25,1647,85,"Cologne, Munich (Germany); Houston (USA)","","C34",41,103,46,86.8,"63.5-105.2","retrospective study","SU, RX","survival","net.sourceforge.jtds.jdbc.ClobImpl@1017d1aa",false,false,false,"not related to","",true,false,false
26,1352,36,"Kurume University School of Medecine, Hokkaido,","1989-1996","C15",53,138,78,28.0,"1-104","consecutive primary cancers","SU, CX/RX","survival/response","net.sourceforge.jtds.jdbc.ClobImpl@24de0b8b",false,false,true,"associated with bad","L2/L3 loops",true,false,true
27,1484,13,"Aarhus University Hospital","1992-1996","C00-C14",53,114,45,,"0-60","consecutive primary cancers; retrospective study","SU, RX","survival","net.sourceforge.jtds.jdbc.ClobImpl@6da1d81f",false,false,false,"associated with bad","",true,false,false
28,1572,85,"University of Southern California School of Medicine; Humboldt-University of Berlin","1972-1995","C56",3,178,99,31.0,"1-144","consecutive primary cancers","SU, CX","survival/response","net.sourceforge.jtds.jdbc.ClobImpl@68880cfe",false,false,false,"associated with bad","conserved regions",true,true,true
29,1648,54,"University of Iowa Hospitals and Clinics","1990-1996","C56",3,171,98,40.8,"0-106.8","consecutive primary cancers","SU, CX","survival","net.sourceforge.jtds.jdbc.ClobImpl@46bc0ac4",false,false,false,"associated with bad","",true,true,false
30,1540,15,"Multicenter study","1994-1996","C18-C20",3,56,35,18.7,"0-60","liver metastasis from CRC; prospective study","SU, CX (5FU)","response","net.sourceforge.jtds.jdbc.ClobImpl@12ead3cb",false,false,true,"not related to","",true,false,false
31,1318,15,"Hopital Tenon, Paris","1992-1995","C00-C14",53,105,40,,"","consecutive primary cancers","CX (5FU;CISP)","response","net.sourceforge.jtds.jdbc.ClobImpl@71e880a9",false,false,true,"associated with bad","DNA contact",true,false,false
32,1319,15,"Laennec Hospital, Paris","1996-1997","C00-C14",53,106,72,,"","consecutive primary cancers; prospective study","CX (5FU;CISP)","response","net.sourceforge.jtds.jdbc.ClobImpl@59af8d96",true,false,true,"associated with bad","",true,false,false
33,667,10,"University of Innsbruck","1977-1987","C25",3,71,29,14.8,"1-69","consecutive primary cancers","","survival","net.sourceforge.jtds.jdbc.ClobImpl@7fe3464d",false,false,true,"associated with bad","",true,false,false
34,1014,21,"Norwegian Radium Hospital, Oslo","","C56",3,45,29,,"","advanced epithelial ovarian cancers","SU, CX (paclitaxel/CISP; CP/CISP)","response","net.sourceforge.jtds.jdbc.ClobImpl@3b53a6f1",false,false,true,"not related to","",true,false,false
35,1649,24,"Hospital de Sant Pau, Barcelona","1991-1993","C18-C20",3,132,66,,"0-60","consecutive primary cancers; prospective study","SU, CX and/or RX for 32 patients","survival","net.sourceforge.jtds.jdbc.ClobImpl@e0b84fa",false,false,false,"not related to","",true,false,false
36,1650,36,"Nihon University School of Medecine, Tokyo","1989-1997","C18-C20",3,106,39,65.0,"38-136","consecutive primary cancers","SU, CX (5FU) for a few patients","survival","net.sourceforge.jtds.jdbc.ClobImpl@2bed6b90",false,false,false,"associated with bad","",true,false,false
37,1651,16,"Technische Universitat Munchen, Munich","","C15",103,49,21,44.1,"0-96","prospective study; Barrett's carcinoma","SU","survival","net.sourceforge.jtds.jdbc.ClobImpl@4ed9818e",false,false,false,"associated with bad","",true,false,false
38,1419,22,"Bialystok Medical School","","C34",41,74,34,,"12.1-40.7","consecutive primary cancers","SU","survival","net.sourceforge.jtds.jdbc.ClobImpl@681bc28a",false,false,false,"associated with bad","",true,false,false
39,1512,29,"Belfast City Hospital","","C56",3,50,,56.0,"33-75","consecutive primary cancers","SU, CX (platinum-based)","survival","net.sourceforge.jtds.jdbc.ClobImpl@3ae5a727",false,false,false,"not related to","",true,true,false
40,809,7,"Queen Mary Hospital","1990-1994","C15",53,70,31,12.0,"","consecutive primary cancers","SU","survival","net.sourceforge.jtds.jdbc.ClobImpl@7a94fa00",false,false,false,"associated with bad","",true,false,false
41,1269,25,"South-east Health Care Centers","1980-1993","C50",3,123,21,67.0,"","early onset breast cancers (<=37yo)","","survival","net.sourceforge.jtds.jdbc.ClobImpl@78c3c12d",true,false,false,"associated with bad","Zn binding",true,true,true
42,1018,1,"New South Wales Central Cancer Registry","1989-1990","C65",89,89,29,,"0-72","consecutive primary cancers","","survival","net.sourceforge.jtds.jdbc.ClobImpl@4efa532d",false,false,false,"associated with bad","",true,false,false
43,1347,36,"Kumamoto University Hospital","1992-1997","C00-C14",53,38,23,,"","consecutive primary cancers","SU, RX","survival","net.sourceforge.jtds.jdbc.ClobImpl@5931194a",false,false,false,"associated with bad","",true,false,false
44,1240,36,"Kitasato University School of Medecine, Sagamihara","<1995","C67",3,105,38,,"0-72","consecutive primary cancers","","survival","net.sourceforge.jtds.jdbc.ClobImpl@428ac96",true,false,false,"associated with bad","",true,false,false
45,507,54,"National Cancer Institute's Collaboraitve Black/White Cancer Survival Study","1985-1986","C50",3,92,18,,"0-80","Black/White Cancer Survival Study","SU, RX, CX","survival","net.sourceforge.jtds.jdbc.ClobImpl@6284cf97",false,false,false,"associated with bad","",true,false,false
46,1035,15,"Curie Institute, Paris","1991-1993","C50",3,64,20,,"0-70","consecutive primary cancers","SU, CX (5FU+doxo+CP); RX","survival","net.sourceforge.jtds.jdbc.ClobImpl@7e7b9bd1",false,false,false,"not related to","",true,false,false
47,942,9,"","1986-1992","C34",41,151,34,,"0-83","consecutive primary cancers","","survival","net.sourceforge.jtds.jdbc.ClobImpl@2f51361d",false,false,false,"associated with bad","null mutations",true,true,false
48,1521,13,"The Juliane Marie Center, Rigshospitalet, Copenhagen","","C42",977,77,21,,"0-54","therapy related leukemia","","survival","net.sourceforge.jtds.jdbc.ClobImpl@6e5c637d",true,false,true,"associated with bad","",true,false,false
49,351,50,"National Tawain University Hospital","1983-1992","C22",137,138,51,,"0-70","unifocal HCC; FU>1 year","SU","survival","net.sourceforge.jtds.jdbc.ClobImpl@2ae0e156",true,false,false,"associated with bad","",true,false,false
50,1076,16,"University of Heidelberg","","C00-C14",53,86,39,,"0-80","consecutive primary cancers","","survival","net.sourceforge.jtds.jdbc.ClobImpl@86752c8",false,false,true,"associated with bad","DNA contact",true,true,true
51,1310,26,"University Hospital (CHUV), Lausanne","1983-1995","C71",824,36,14,72.0,"12-186","consecutive primary cancers; low grade astrocytomas","SU, RX for 8 patients","survival","net.sourceforge.jtds.jdbc.ClobImpl@2e206c07",false,false,true,"associated with bad","",true,false,false
52,1375,85,"","","C34",41,68,27,,"","","","survival","net.sourceforge.jtds.jdbc.ClobImpl@23eab535",false,false,true,"not related to","",true,false,false
53,858,16,"Heinrich-Heine University, Dusseldorf","","C71",824,22,12,32.0,"14-94","consecutive primary cancers; grade II gliomas that progressed to high grade","SU","recurrence","net.sourceforge.jtds.jdbc.ClobImpl@e2d0a4f",false,false,true,"associated with bad","",true,false,false
54,1652,54,"Utah and California centers","1991-1994","C18",3,1464,665,,"","population-based study; first-primary incident cases, aged 30-79.","","survival","net.sourceforge.jtds.jdbc.ClobImpl@3ceee850",false,false,false,"associated with bad","codon 245",true,true,false
55,2340,54,"Memorial Sloan-Kettering Cancer Center, NY","1993-1997","C67",3,125,58,33.0,"5-120","prospective study;","SU, CX","survival","net.sourceforge.jtds.jdbc.ClobImpl@1103fb9e",false,false,false,"not related to","",true,false,false
56,1654,54,"Cooperative Human Tissue Network (CCG-945)","1985-1990","C71",812,121,40,,"0-144","children with non-brain-stem malignant gliomas","SU, RX, CX","survival","net.sourceforge.jtds.jdbc.ClobImpl@6736b796",false,false,false,"not related to","",true,false,false
57,1573,24,"Virgen de la Salud Hospital, Toledo","","C77",981,62,11,,"0-100","","","survival","net.sourceforge.jtds.jdbc.ClobImpl@12fa64d",false,false,true,"associated with bad","",true,false,false
58,1655,15,"","","C50",3,79,19,32.0,"6-68","locally advanced carcinomas (inflammatory carcinomas, node positve, T3-4)","SU, CX (5FU+doxo+CP)","survival","net.sourceforge.jtds.jdbc.ClobImpl@4ac87250",false,false,false,"associated with bad","",true,false,false
59,1656,54,"","","C71",824,167,33,,"","Grade 3-4 astrocytomas","SU, RX, CX","survival","net.sourceforge.jtds.jdbc.ClobImpl@4499bf9c",false,false,false,"associated with good","",true,false,false
60,1657,27,"Hospitals from Southern Netherlands","1988-1993","C56",3,80,31,78.0,"2-120","primary cancer","SU, CX","survival/response","net.sourceforge.jtds.jdbc.ClobImpl@16413a9e",false,false,false,"not related to","",true,false,false
61,1658,54,"Rhode Island Hospital, Providence","1983-1988","C18",3,70,43,96.0,"0-84","consecutive primary cancers; stage 3 (Dukes' C, T3)","SU","survival","net.sourceforge.jtds.jdbc.ClobImpl@6aa0ebd5",false,false,false,"associated with bad","",true,false,false
62,708,54,"Johns Hopkins Hospital","1983-1987","C18-C20",3,46,19,,"0-72","","SU","survival","net.sourceforge.jtds.jdbc.ClobImpl@63735e23",false,false,false,"not related to","",true,false,false
63,1659,50,"Veterans General Hospital-Taichung","1993-1998","C34",41,81,13,,"","consecutive primary cancers","","survival","net.sourceforge.jtds.jdbc.ClobImpl@6a9f688e",false,false,false,"not related to","",true,false,false
64,1660,54,"","","C61",3,58,8,,"","consecutive primary cancers","SU","survival","net.sourceforge.jtds.jdbc.ClobImpl@75152a89",false,false,false,"not related to","",true,false,false
65,1661,6,"Cancer Hospital of the Shanghai Medical University","1997-1999","C50",3,126,46,,"","consecutive primary cancers","SU","survival","net.sourceforge.jtds.jdbc.ClobImpl@180689bd",false,false,false,"associated with bad","",true,false,false
66,1615,36,"Kyushu University Hospital, Fukuoka","1995-1998","C34",41,145,51,,"0-72","consecutive primary cancers","","survival","net.sourceforge.jtds.jdbc.ClobImpl@617d4ed8",false,false,false,"associated with bad","",true,false,false
67,1674,36,"Kyoto Prefectural University of Medecine","","C42",1031,118,16,18.0,"0.6-148","","","survival","net.sourceforge.jtds.jdbc.ClobImpl@70b79161",false,false,false,"associated with bad","",true,false,false
68,1675,10,"Multicenter in Austria","","C20",103,64,29,,"0-65","retrospective study; resectable cancer with preoperative short-term radiotherapy","SU, pre-op RX (25 Gy)","survival/response","net.sourceforge.jtds.jdbc.ClobImpl@2caaac9c",false,false,false,"associated with bad","",true,false,false
70,1681,29,"Chelsea & Westminster Hospital, London","","C18-C20",103,28,21,,"","Coloretal liver metastasis treated with hepatic arterial chemotherapy (floxuridine).","CX (floxuridine)","survival/response","net.sourceforge.jtds.jdbc.ClobImpl@cd93d5",false,false,false,"not related to","",true,false,true
71,1682,16,"University of Bonn, University of Madgeburg, University of Wurzburg, University of Kiel","1981-1998","C71",835,89,20,,"","Grade 4 glioblastomas","SU, RX, CX","survival","net.sourceforge.jtds.jdbc.ClobImpl@bcd069a",false,false,false,"not related to","",true,false,false
72,1693,36,"Asahikawa Medical College","1980-2000","C31",53,70,20,61.0,"2-189","consecutive primary cancers","SU, pre-op RX/CX","survival","net.sourceforge.jtds.jdbc.ClobImpl@47bdb21b",false,false,false,"associated with bad","",true,false,false
73,1704,16,"Ludwig-Maximilians University, Munich","1991-1998","C71",824,149,73,49.0,"0-96","supratentorial WHO grade II astrocytomas or oligoastrocytomas","SU","survival","net.sourceforge.jtds.jdbc.ClobImpl@3e8a283c",false,false,false,"not related to","",true,true,false
74,1705,16,"University of Bonn Medical Center","1992-1996","C71",835,87,16,10.0,"0-60","consecutively operated cancers","SU","survival","net.sourceforge.jtds.jdbc.ClobImpl@52354703",false,false,false,"associated with good","",true,false,false
75,1713,36,"Hospital of Nippon Medical School","1986-2000","C42",993,170,20,21.0,"0.1-118","","CX (BHAC-DMP regimen)","survival/response","net.sourceforge.jtds.jdbc.ClobImpl@312f7209",false,false,false,"associated with bad","",true,false,false
76,1726,36,"Kumamoto University Hospital","1995-2000","C71",835,55,17,,"","consecutive primary cancers","SU, RX, CX","survival","net.sourceforge.jtds.jdbc.ClobImpl@1b28335d",false,false,false,"not related to","",true,false,false
77,1729,15,"Centre Hospitalier Lyon-Sud, Lyon","1989-1991","C20",103,86,44,48.0,"1.5-81","retrospective study","SU, pre-op RX","survival/response","net.sourceforge.jtds.jdbc.ClobImpl@748c33cc",false,false,false,"associated with bad","",true,false,false
78,1731,13,"Copenhagen City Heart Study","1976-1993","C50",3,162,36,67.0,"","prospective study;","","survival","net.sourceforge.jtds.jdbc.ClobImpl@cf96f01",false,false,false,"not related to","",true,false,false
79,1489,36,"Osaka City University Medical School; Osaka City General Hospital","1993-1998","C15",53,57,43,28.0,"3-88","consecutive primary cancers","SU; CX (?)","survival","net.sourceforge.jtds.jdbc.ClobImpl@460cebad",false,false,false,"not related to","",true,true,false
80,1740,15,"Multicenter study","1987-1997","C77",928,69,16,80.0,"16-141","de novo DLBCL with low or low-intermediate risk (IPI)","CX (ACVBP or NCVBP)","survival","net.sourceforge.jtds.jdbc.ClobImpl@1ce48aea",false,false,false,"associated with bad","",true,false,false
81,657,16,"Institute of Pathology and Surgical clinic, University of Halle","","C49",500,145,15,,"1-168","consecutive primary cancers","SU, CX/RX","survival/response","net.sourceforge.jtds.jdbc.ClobImpl@9e3c8e9",false,false,false,"associated with bad","non-fs",true,true,false
82,1749,24,"Hospital de la Santa Creu I Sant Pau, Barcelona","","C77",932,43,7,19.5,"","lymphoma proceeding from germinal center with t(14;18)(q21;q32)","","survival","net.sourceforge.jtds.jdbc.ClobImpl@4ea52fb3",false,false,false,"associated with bad","",true,false,false
83,1779,36,"Hokkaido University Dental Hospital, Sapporo","1990-2000","C00-C14",53,121,51,36.0,"4-139","consecutive primary cancers previously untreated","","survival","net.sourceforge.jtds.jdbc.ClobImpl@6fd5e449",false,false,false,"associated with bad","conserved regions and DNA/Zn binding",true,true,true
84,431,36,"Gifu University Hospital","1984-1991","C56",16,31,13,,"","serous cystadenocarcinoma and endometrioid adenocarcinoma","SU, CX (CISP+doxo+CP)","survival","net.sourceforge.jtds.jdbc.ClobImpl@575e9083",true,false,false,"not related to","",true,false,false
85,1812,36,"Nihon University School of Medecine, Tokyo","1981-1998","C71",824,46,25,90.0,"36-225","WHO grade II","SU, RX, IFN","survival","net.sourceforge.jtds.jdbc.ClobImpl@40edae01",false,false,false,"not related to","",true,false,false
86,1813,54,"Gynecological Oncology Group (GOG 114, 132, 136)","","C56",16,109,84,,"","","SU, CX (platinium-based or paclitaxel)","survival","net.sourceforge.jtds.jdbc.ClobImpl@27d2d918",false,false,false,"associated with good","",true,false,false
87,1814,54,"Johns Hopkins Hospital, Johns Hopkins Bayview Medical Center, Froedtert Memorial Lutheran Hospital","1995-1999","C34",41,188,104,27.0,"1-71","stage I, prospective study","?","survival","net.sourceforge.jtds.jdbc.ClobImpl@67658607",false,false,false,"associated with bad","truncating/structural/DNA contacts",true,true,true
88,1815,16,"Regensburg","1996-2000","C16",3,25,8,13.0,"3-50","advanced stages","","survival/response","net.sourceforge.jtds.jdbc.ClobImpl@449cd8e0",false,false,false,"associated with good","",true,false,false
89,1816,54,"Holden Comprehensive Cancer Center of The University of Iowa","1990-1998","C56",3,267,125,,"","primary, invasive epithelial","","survival","net.sourceforge.jtds.jdbc.ClobImpl@69acebd4",false,false,false,"associated with bad","null mutations",false,true,true
90,1817,19,"Cuneo General Hospital","","C00-C14",53,70,40,,"","locally advanced carcinomas, TNM III/IV","","survival/response","net.sourceforge.jtds.jdbc.ClobImpl@5807f5e0",false,false,false,"associated with bad","missense mutations on Arg allele",true,false,false
91,1818,36,"Showa University Hospital","1987-1999","C56",264,27,17,,"","","SU, CX (Platinium)","survival","net.sourceforge.jtds.jdbc.ClobImpl@13191559",false,false,false,"associated with bad","",true,false,false
92,1819,36,"Shimane Medical University (Izumo)","1982-2001","C25",16,72,45,,"0-72","consecutive invasive ductal carcinomas","SU, CX","survival/response","net.sourceforge.jtds.jdbc.ClobImpl@31e09402",false,false,false,"associated with good","",true,false,false
93,1811,3,"A.C. Camargo Hospital, Sao Paulo","","C50",3,242,33,35.6,"","","","survival","net.sourceforge.jtds.jdbc.ClobImpl@3f9c3ba1",false,false,false,"associated with bad","DNA/Zn binding",true,false,true
