"Prognosis_ID","Ref_ID","Country_ID","Institution","Period","Topo_code","Morpho_ID","Cohort","P53_mutation","MedianFU","RangeFU","InclusionCriteria","Treatment","Parameter_analysed","Result","LOH","Polymorphism","Individual_data","Association","Bad_mutations","WT_Mut","Mut_Mut","Structure"
94,1823,54,"The Sidney Kimmel Comprehensive Center at John Hopkins","","C15",16,46,29,,"0-133","","SU, RX, CX (5FU, CP)","survival","net.sourceforge.jtds.jdbc.ClobImpl@58536147",false,false,false,"associated with good","",true,false,false
95,1824,29,"Various Hospitals in UK","","C77",981,138,23,31.5,"","","","survival","net.sourceforge.jtds.jdbc.ClobImpl@33b04c9",false,false,false,"associated with bad","",true,false,false
96,1825,21,"Haukeland University Hospital, Bergen","1993-2001","C50",16,35,18,42.0,"10-103","locally advanced cancer","SU, CX (5FU; MTC)","response","net.sourceforge.jtds.jdbc.ClobImpl@36ced028",false,false,false,"associated with bad","L2/L3 loops",true,false,true
97,1826,36,"Nagasaki University School of Medecine","1997-1998","C18-C20",3,79,58,33.0,"4-55","","SU, CX (5FU)","survival","net.sourceforge.jtds.jdbc.ClobImpl@6851a463",false,false,false,"associated with bad","",true,false,false
98,1827,58,"University Hospital Brno","2000-2002","C42",993,64,12,7.0,"1-67","non-selected","","survival/response","net.sourceforge.jtds.jdbc.ClobImpl@2bcbb977",false,false,false,"associated with bad","",true,false,false
99,395,27,"University Hospital Nijmegen","<1994","C67",16,45,8,,"","","SU, CX/RX","survival","net.sourceforge.jtds.jdbc.ClobImpl@708ded8b",false,false,false,"associated with bad","",true,false,false
100,985,29,"Freeman Hospital, Newcastle Upon Tyne","<1998","C67",89,54,18,,"0-85","","","survival","net.sourceforge.jtds.jdbc.ClobImpl@30823c22",false,false,false,"not related to","",true,false,false
101,1293,26,"Geneva University Hospital","1987-1989","C50",3,153,58,88.0,"5-112","consecutive primary cancers","SU, RX","survival","net.sourceforge.jtds.jdbc.ClobImpl@5595f4ed",false,false,false,"associated with bad","",true,false,false
102,1883,16,"Institute of Pathology, Klinikum rechts des Isar, Munich","","C16",16,53,19,46.0,"20-103","advanced stages","CX (CISP-based)","survival/response","net.sourceforge.jtds.jdbc.ClobImpl@23e3ff29",false,false,false,"not related to","",true,false,false
103,1918,21,"Norwegian Radium Hospital, Oslo","1982-1989","C56",16,178,71,168.0,"120-204","Early stage cancers (FIGO IA, IB, IC)","SU, CX/RX","survival","net.sourceforge.jtds.jdbc.ClobImpl@3c1daf6b",false,false,false,"not related to","",true,true,false
106,1836,4,"Dalhousie University","1991-2001","C15",103,91,46,,"","consecutive primary cancers","SU","survival","net.sourceforge.jtds.jdbc.ClobImpl@1d5fe7e6",false,false,false,"not related to","",true,false,false
107,1931,54,"Massachusetts General Hospital Brain Tumor Center","1990-2001","C71",835,134,24,,"0-70","consecutive series of glioblastomas","SU; RX; CX(in some patients)","survival","net.sourceforge.jtds.jdbc.ClobImpl@67974a3c",false,false,false,"associated with bad","",true,false,false
108,1932,50,"Chang Gung Memorial Hospital","1992-1993","C18-C20",103,138,51,,"6-135","consecutive primary cancers","SU, CX (5FU)","recurrence","net.sourceforge.jtds.jdbc.ClobImpl@5bb1fb50",false,false,false,"associated with bad","",true,false,false
109,1938,4,"Hospital in Toronto area","1987-1993","C50",16,547,133,85.0,"55-144","prospective study;","","survival","net.sourceforge.jtds.jdbc.ClobImpl@a0671ba",false,false,false,"associated with bad","",true,false,false
113,1942,54,"Memorial Sloan-Kettering Cancer Center, NY","1980-2000","C56",16,68,22,,"0-240","Early stage (FIGO I, II) primary cancers","","survival","net.sourceforge.jtds.jdbc.ClobImpl@6884c7cb",false,false,false,"associated with bad","",true,false,false
114,1948,22,"Medical University of Gdansk","","C67",3,61,16,,"0-36","primary cancer","SU","survival","net.sourceforge.jtds.jdbc.ClobImpl@351fb64d",false,false,false,"associated with bad","",true,false,false
115,1949,21,"Norwegian Radium Hospital, Oslo","1992-2003","C56",16,109,80,23.0,"2-116","primary cancers","SU, CX (platinum-based)","survival","net.sourceforge.jtds.jdbc.ClobImpl@6120b0c5",false,false,false,"associated with bad","non-missense associated with codon72Pro allele",true,false,false
116,1962,19,"University of Palermo","1992-1996","C16",103,62,17,,"0-60","consecutive primary cancers","SU, CX","survival","net.sourceforge.jtds.jdbc.ClobImpl@589286fa",false,false,false,"associated with bad","",true,false,true
117,1992,19,"Instituto Nazionale Tumori Milano","1996-2003","C31",108,30,18,,"","consecutive primary cancers","CX, SU, RT","response","net.sourceforge.jtds.jdbc.ClobImpl@16e6b8bc",false,false,false,"associated with bad","",true,false,false
118,2001,54,"Jackson Memorial Hospital","1984-1986","C50",3,271,177,,"0-120","primary cancer","SU, CX (27% of patients)","survival","net.sourceforge.jtds.jdbc.ClobImpl@5e03c9f3",false,false,false,"associated with bad","",true,false,false
120,2003,19,"Clinica Otorinolaringoiatrica I, Milano","1993-1997","C32",53,84,24,36.0,"4-92","primary cancer","SU","survival","net.sourceforge.jtds.jdbc.ClobImpl@3a41fc6e",false,false,false,"not related to","",true,false,false
124,2083,6,"Taipei Veterans General Hospital, Taipei, Taiwan","1999-2000","C18-C20",16,213,96,,"1-50","sporadic CRC, no oreoperative chemotherapy, no emergent operative procedure, no death within 30 postoperative days","SU","survival","net.sourceforge.jtds.jdbc.ClobImpl@76a8188a",true,false,false,"associated with bad","",true,false,false
127,2085,24,"18 general hospitals in Spain","1997-2001","C67",89,119,78,54.0,"38-72","T1G3 cases","SU","recurrence/survival","net.sourceforge.jtds.jdbc.ClobImpl@55a87dbb",false,false,false,"not related to","",true,false,false
129,2089,13,"Gynecologic departments in Denmark (Copenhagen, Frederiksberg, Roskilde, Western Zealand, Funen, Southern & Northern Jutland)","1994-1999","C56",3,74,15,,"0-90","Women between 35-79 years, preoperative, stage III and IV","","survival","net.sourceforge.jtds.jdbc.ClobImpl@15a47aac",false,false,true,"associated with bad","",true,false,false
130,2090,15,"Val d'Aurelle Paul-Lamarque Cancer Institute, Montpellier","1996-2001","C20",16,70,35,,"","life expectancy greater than 3 months, Who performance status of 0, 1 or 2","SU, pre-op RX","response","net.sourceforge.jtds.jdbc.ClobImpl@20b346fa",true,false,false,"not related to","",true,false,false
131,2093,36,"Department of Surgery II, Kyushu University Hospital, Fukuoka","1996-2000","C16",103,213,19,,"0-60","","","survival","net.sourceforge.jtds.jdbc.ClobImpl@1669662e",true,false,false,"not related to","",true,false,false
132,2096,19,"Oncology Pediatric Service of II University of Naples","1992-2000","C42",988,62,9,,"0-160","children (median age: 4 years)","AIEOP ALL '91 and '95 protocols (prednisone in prephase induction therapy).","survival/response","net.sourceforge.jtds.jdbc.ClobImpl@ba94fd",false,false,false,"associated with bad","",true,false,false
133,2097,19,"Karolinska Hospital, Stockholm and Sahlgrenska University Hospital, Gothenburg","1989-1994","C71",825,37,26,,"124-168","","","survival","net.sourceforge.jtds.jdbc.ClobImpl@367dff5c",true,false,true,"not related to","",true,false,false
134,2102,27,"University Medical Center Groningen","","C18-C20",3,44,20,,"","colorectal liver metastasis eligible for liver surgery","","recurrence/survival","net.sourceforge.jtds.jdbc.ClobImpl@c43fbff",false,false,false,"not related to","",true,false,false
136,2126,56,"Mount Sinai Hospital, Toronto, Canada; Vancouver Hospital seven tertiary care institutions from USA and Canada","1989-1998","C40",733,196,38,44.0,"0-84","high grade, non-metastatic, biopsy-proven diagnosed","SU, CX (doxo/CISP; MTX/doxo/CISP; ifosfamide/MTX/doxo/CISP)","recurrence/survival","net.sourceforge.jtds.jdbc.ClobImpl@51c6b44f",false,false,false,"not related to","",true,false,false
137,2129,58,"Prague","2000-2002","C67",89,25,4,,"0-56","Ta or T1 stage + one or more tumor recurrence during the FU period","SU, CX or BCG","recurrence","net.sourceforge.jtds.jdbc.ClobImpl@50fcff6",true,false,false,"not related to","",true,false,false
138,2133,242,"Dep. Of Obstetrics abd Gynecology, Mainz University, Germany","1990-2000","C54",16,92,24,58.0,"1-130","","","survival","net.sourceforge.jtds.jdbc.ClobImpl@5cd15714",false,false,true,"associated with bad","DNE mutants",true,true,false
140,2134,54,"University of Southern California School of Medicine, Los Angeles, California","1980-1989","C54",264,59,12,,"3-120","primary cases","SU, RX for 22 cases","survival","net.sourceforge.jtds.jdbc.ClobImpl@4f5ec372",false,true,false,"associated with bad","",true,false,false
148,2139,54,"Duke University Medical Center, Durham, North Carolina","","C71",840,46,6,,"0-150","","","recurrence/survival","net.sourceforge.jtds.jdbc.ClobImpl@2bde621a",false,false,false,"associated with bad","",true,false,false
149,2150,54,"Mayo Clinic, Rochester","1991-1992","C34",41,91,42,,"0-72","primary cancer","SU","survival","net.sourceforge.jtds.jdbc.ClobImpl@50d578e8",false,false,false,"not related to","",true,false,false
151,2152,36,"Kyushu University Hospital, Fukuoka","1971-2003","C49",554,64,8,76.6,"2-393","","SU","survival","net.sourceforge.jtds.jdbc.ClobImpl@66afc11",false,false,true,"associated with bad","missense mutations",true,true,false
155,2165,29,"The Walton Centre for Neurology and Neurosurgery, Liverpool","2000-2003","C71",812,51,19,,"","grade II oliogastrocytomas and oligodendrogliomas","SU, CX, RX","survival","net.sourceforge.jtds.jdbc.ClobImpl@3f96eafd",true,false,false,"associated with bad","",true,false,false
156,2176,29,"St Bartholomew's hospital, London","","C77",928,29,8,80.0,"24-229","avaibility of FL & DLBCL samples","","survival","net.sourceforge.jtds.jdbc.ClobImpl@670081a7",false,false,false,"not related to","",false,false,false
157,2179,19,"Department of Oncology, University of Palermo","1988-1992","C18-C20",103,160,68,71.0,"34-115","primary untreated cancer","SU","survival","net.sourceforge.jtds.jdbc.ClobImpl@1c69b797",false,false,false,"associated with bad","L3 loop",true,true,false
159,2178,36,"Chiba University Hospital","1986-1993","C15",53,42,14,,"0-60","primary SCC stage II or III, N0","SU","survival","net.sourceforge.jtds.jdbc.ClobImpl@4db25a7f",false,false,false,"associated with bad","",true,false,false
160,2180,10,"Innsbruck Medical University, Medical University of Vienna","","C56",103,122,80,,"26-212","consecutive primary cancers","SU, CX (various combination of platinium-based +- paclitaxel)","recurrence/survival","net.sourceforge.jtds.jdbc.ClobImpl@457b8036",false,false,false,"associated with bad","mutants that efficiently inhibit TAp73 function",true,true,false
161,2184,54,"Memorial Sloan-Kettering Cancer Center, NY","1991-2001","C40",768,60,8,29.0,"6-118","1) presence of EWS-FL11 or EWS-ERG fusion transcripts; 2° adequate follow up information","SU, pre-op CX","survival/response","net.sourceforge.jtds.jdbc.ClobImpl@26952c87",false,false,true,"associated with bad","",true,false,false
162,2186,19,"Department of Oncology, University of Palermo","1988-1992","C18-C20",16,160,58,71.0,"34-115","electively resected primary CRC, available DNA from normal & tumor tissue, none chemotherapy or radiation therapy before surgery, no family history","","recurrence/survival","net.sourceforge.jtds.jdbc.ClobImpl@7791f2cd",false,false,true,"associated with bad","L3 loop",true,true,true
163,2196,29,"Ninewells Hospital, Dundee and Perth Royal Infirmary","1997-1999","C18-C20",16,107,65,,"","Caucasian patients, with primary cancer, undergoing surgery","","survival","net.sourceforge.jtds.jdbc.ClobImpl@28af2fe2",false,false,false,"not related to","",true,false,false
164,2197,14,"","1994-1998","C18-C20",16,46,25,,"","C-Dukes stages treated by surgery only","SU","survival","net.sourceforge.jtds.jdbc.ClobImpl@31cc70f1",false,false,false,"not related to","",true,false,false
165,2208,50,"Kaohsiung Veterans General Hospital","2000-2003","C15",53,40,21,15.0,"4-48","consecutive primary cancers","SU","survival","net.sourceforge.jtds.jdbc.ClobImpl@3eb2835b",false,false,false,"not related to","",true,false,false
166,2209,29,"Birmingham","2001-2003","C42",981,155,6,71.0,"25-217","attendance to the outpatient clinic","","survival","net.sourceforge.jtds.jdbc.ClobImpl@46cd19da",false,false,false,"associated with bad","",true,false,false
167,2217,85,"164 sites in USA, Australia, New Zealand","2000-2002","C18-C20",16,227,154,,"","metastatic colorectal carcinoma, at least 18 years, life expectancy more than 3 months, untreated","CX (irinotecan, FU, leucovirin +/- bevacizumab)","survival/response","net.sourceforge.jtds.jdbc.ClobImpl@17ccfede",false,false,false,"not related to","",true,false,false
170,1021,24,"San Carlos Hospital, Madrid","1990-1993","C18-C20",103,61,18,,"1-70","","","survival","net.sourceforge.jtds.jdbc.ClobImpl@45555f2e",false,false,true,"associated with bad","exon 7",true,false,false
171,2232,13,"Aarhus University Hospital","1986-2005","C00-C14",53,180,125,,"","","RX (5-6 fx/week for 6,5 or 5,5 weeks)","survival/response","net.sourceforge.jtds.jdbc.ClobImpl@6f57a484",false,false,true,"not related to","",true,false,false
173,2238,25,"University of Gothenburg","1984-1989","C50",3,370,105,84.0,"1-144","Node-positive primary breast cancers, no preoperative therapy, no other invasive malignancy","CX (CMF for 125 patients, TAM for 183 patients or CMF/TAM for 68 patients)","survival","net.sourceforge.jtds.jdbc.ClobImpl@417a737d",false,false,false,"associated with bad","",true,false,false
175,2245,54,"National Cancer Institute, Bethesda","1993-2003","C50",3,153,31,,"-130","Diagnosed with breast cancer within the last 6 months before recruitment, no previous history of breast cancer, MDM2 SNP309 genotype T/T","","survival","net.sourceforge.jtds.jdbc.ClobImpl@31b05f82",false,false,false,"associated with bad","",true,false,false
176,2245,54,"National Cancer Institute, Bethesda","1993-2003","C50",3,92,17,,"","Diagnosed with breast cancer within the last 6 months before recruitment, no previous history of breast cancer, MDM2 SNP309 genotype G/T or G/G","","survival","net.sourceforge.jtds.jdbc.ClobImpl@5ef3dab5",false,false,false,"not related to","",false,false,false
177,2250,85,"Neurosurgical Units at Dunedin, Christchurch, Auckland (New Zealand), Hull and Sheffield (UK)","1997-2005","C71",835,97,26,8.0,"","","SU, RX (60 Gy fractionated)","survival","net.sourceforge.jtds.jdbc.ClobImpl@cd2366b",false,false,true,"associated with bad","",true,false,false
178,2253,54,"University of Texas M. D. Anderson Cancer Center","2002-2005","C50",3,11,8,37.0,"13-41","Newly diagnosed, non-inflammatory cancer, stage IIIA-C, palpable breast mass","SU, pre-op intratumoral injection of Ad5CMV-p53/CX","response","net.sourceforge.jtds.jdbc.ClobImpl@1e215d17",false,false,false,"not related to","",true,false,false
180,2262,54,"CALGB 9342 trial","","C50",3,145,42,96.0,"","advanced breast cancers (stage IV or inoperable)","CX (paclitaxel)","response","net.sourceforge.jtds.jdbc.ClobImpl@2dde4d1e",false,false,false,"not related to","",true,false,false
181,2273,85,"Lymphoma Leukemia Molecular Profiling Project","","C77",924,82,16,,"1-168","Patients Cyclin D1-positive","","survival","net.sourceforge.jtds.jdbc.ClobImpl@6db81c62",true,true,false,"associated with bad","",true,false,false
182,2282,36,"Department of Digestive and General Surgery, Saitama Medical School","2002-2003","C18-C20",3,33,25,,"","Histologically proven CRC with at least 1 metastasis, no prior treatment during the preceding 4 weeks","CX (5-FU/Leucovorin)","survival/response","net.sourceforge.jtds.jdbc.ClobImpl@70c41ed0",false,false,true,"not related to","",true,false,false
183,2285,36,"Nagoya University Hospital","1987-2006","C77",928,96,19,34.0,"","Negative for HIV","CX (CP/anthracycline)","survival/response","net.sourceforge.jtds.jdbc.ClobImpl@64993c3a",false,false,true,"associated with bad","",true,false,false
184,2305,19,"National Cancer Institute of Milan","1990-1999","C10",53,90,35,70.0,"12-129","","SU +/- RX","recurrence/survival","net.sourceforge.jtds.jdbc.ClobImpl@3bf02b0a",false,false,true,"not related to","",true,false,false
185,2332,16,"Klinikum Rechts der Isar, Technical University of Munich","2000-2004","C16",103,38,23,11.0,"2-57","uT3 or uT4 tumors, no metastasis","SU, pre-op CX","survival/response","net.sourceforge.jtds.jdbc.ClobImpl@16067b1a",false,false,false,"not related to","",true,false,false
186,2336,22,"Thoracic Surgery Department, Medical University of Gdansk","1996-2004","C34",41,240,62,,"","","SU, pre-op treatment","survival","net.sourceforge.jtds.jdbc.ClobImpl@4664c594",false,false,false,"not related to","",true,false,false
188,2341,50,"National Taiwan University Hospital","1984-1997","C22",137,156,72,,"","Primary cancer, no chemotherapy before surgery","","survival","net.sourceforge.jtds.jdbc.ClobImpl@6b31498e",false,false,false,"associated with bad","",true,false,false
189,2342,24,"Fundacion Instituto Valenciano de Oncologica, Valencia","","C67",2,84,9,36.4,"1,3-49,2","","","recurrence/survival","net.sourceforge.jtds.jdbc.ClobImpl@51238799",false,false,false,"associated with bad","",true,false,false
190,2343,85,"Necker Hospital, Paris, France & National Insitutes of Health, Bethesda, MD","","C42",983,14,6,,"","","AZT","response","net.sourceforge.jtds.jdbc.ClobImpl@7458f80c",false,false,true,"associated with bad","",true,false,false
191,1988,54,"Universityof California, Davis and Kaiser Permanente North Medical Center, Sacramento, California","1989-1998","C61",3,98,44,7.4,"2,6-12,9","Radical prostectomy samples","","survival","net.sourceforge.jtds.jdbc.ClobImpl@14f0cb76",false,false,false,"associated with bad","exon 6",true,true,false
192,2363,15,"Hopital Saint Louis, Paris","1997-2003","C50",3,80,28,,"","noninflammatory consecutive primary cancers","CX (dose-dense epirubicin-cyclophosphamide)","response","net.sourceforge.jtds.jdbc.ClobImpl@75ec8d5f",false,false,true,"associated with good","",true,false,false
193,2369,9,"Various European Institutions","1987-1997","C50",3,1794,308,78.0,"1-262","consecutive primary cancers","","survival","net.sourceforge.jtds.jdbc.ClobImpl@38bed334",false,false,false,"associated with bad","codon 179 and R248W",true,true,true
194,1863,21,"Akershus University Hospital & Ulleval University Hospital","","C50",3,166,28,,"-168","","","survival","net.sourceforge.jtds.jdbc.ClobImpl@b15d4b7",false,false,false,"associated with bad","",true,false,false
195,2370,21,"Ulleval University Hospital","1990-1994","C50",3,203,48,,"-192","primary cases","","survival","net.sourceforge.jtds.jdbc.ClobImpl@192c05d8",false,false,false,"associated with bad","",true,false,false
196,2390,28,"Marmara University Hospital","1990-2002","C18-C20",103,43,14,76.0,"6-168","sporadic CRC surgically resected","","survival","net.sourceforge.jtds.jdbc.ClobImpl@8bbe5d7",false,false,false,"not related to","",true,false,false
197,2395,15,"Multicenter study","1994-1998","C18-C20",3,97,55,52.8,"","liver metastasis from CRC","SU, CX (5FU, folinic acid)","survival","net.sourceforge.jtds.jdbc.ClobImpl@4652a087",false,false,false,"associated with bad","",true,true,false
198,2400,15,"Cochin Hospital, Paris","","C74",256,36,12,63.0,"1-119","17p13 LOH cases","","survival","net.sourceforge.jtds.jdbc.ClobImpl@63477496",false,false,false,"associated with bad","",true,false,false
200,2402,54,"University of Southern California, Norris Comprehensive Cancer Center","1983-1988","C67",3,150,55,,"1-240","radical cystectomy","","recurrence","net.sourceforge.jtds.jdbc.ClobImpl@1abcafe3",false,false,false,"associated with bad","",true,false,false
207,2411,36,"Department of otolaryngology, Okayama University Hospital","1994-2005","C00-C14",53,71,28,64.0,"40-81","","","survival","net.sourceforge.jtds.jdbc.ClobImpl@4d7e643e",false,false,false,"not related to","",true,false,false
208,2424,54,"Eastern Cooperative Oncology Group","","C42",952,268,9,5.0,"","clinical trial E9486/E9487","","survival","net.sourceforge.jtds.jdbc.ClobImpl@1efba38e",false,false,false,"associated with bad","",true,false,false
209,2471,54,"Multicenter (ECOG/RTOG studies)","1996-2002","C00-C14",53,420,224,75.0,"0-128","","SU +/- (RX or CX+RX)","survival","net.sourceforge.jtds.jdbc.ClobImpl@46c09703",false,false,false,"associated with bad","L2/L3 loops",true,true,false
210,1255,10,"University of Vienna","1995-1997","C34",41,24,8,27.0,"","stage IIIA,B","SU, CX (CISP)","survival/response","net.sourceforge.jtds.jdbc.ClobImpl@39fceb8f",false,false,false,"associated with bad","",true,false,false
211,2547,21,"Bergen Hospitals","1997-2003","C50",16,107,23,,"0-84","locally advanced non-inflammatory brast cancer (T3-4 and/or N2)","epirubicin","response","net.sourceforge.jtds.jdbc.ClobImpl@71d371a",false,false,false,"associated with bad","L2/L3 loops",true,true,false
213,2548,6,"Breast Center, Peking University, School of Oncology","1994-1998","C50",16,414,68,,"0-144","consecutive operable primary breast cancer (stage: I–III)","CX/Cx-TAM/TAM/-","survival","net.sourceforge.jtds.jdbc.ClobImpl@44b903a4",false,false,false,"associated with bad","",true,false,false
215,2550,36,"Yamaguchi University Graduate School of Medicine","","C54",264,104,21,35.0,"3-89","surgically resected cases","SU, ?","survival","net.sourceforge.jtds.jdbc.ClobImpl@683fcbf",false,false,false,"not related to","",true,false,false
216,1348,10,"University of Vienna Medical school","1993-1996","C50",3,35,8,,"","T3-T4 tumors","CX (5-FU, epirubicin, cyclophosphamide)","response","net.sourceforge.jtds.jdbc.ClobImpl@587dcf73",false,false,false,"associated with bad","",true,false,false
217,1348,10,"University of Vienna Medical school","1993-1996","C50",3,32,6,,"","T3-T4 tumors","CX (paclitaxel)","response","net.sourceforge.jtds.jdbc.ClobImpl@36368681",false,false,false,"associated with good","",true,false,false
219,2551,27,"Rotterdam Cancer Institute","1979-1991","C50",3,202,65,7.5,"","","SU; tamoxifen","survival/response","net.sourceforge.jtds.jdbc.ClobImpl@3a1e17c0",false,false,false,"associated with bad","DNA/Zn binding/L3",true,false,false
220,2495,6,"Sun Yat-sen University","","C22",137,54,14,,"","","","recurrence","net.sourceforge.jtds.jdbc.ClobImpl@23617238",false,false,false,"associated with bad","",false,false,false
221,2560,54,"Population based","2002-2004","C50",3,859,128,67.0,"3-89","","RX/CX/HT","survival","net.sourceforge.jtds.jdbc.ClobImpl@15d12770",false,false,false,"associated with bad","",true,true,false
222,2563,54,"The Johns Hopkins Medical Institutions","1989-2007","C25",103,89,75,,"1-48","pancreaticoduodenectomy patients who survived at least 30 days","SU; RX; CX(5-FU)","survival","net.sourceforge.jtds.jdbc.ClobImpl@17d1b9c5",false,false,false,"not related to","",true,false,false
223,1927,10,"University of Vienna","1991-2002","C23",3,61,18,64.3,"0.3-83.6","consecutive cancers","various","survival","net.sourceforge.jtds.jdbc.ClobImpl@5dbb1ce8",false,false,false,"not related to","",true,false,false
225,2383,56,"Multiple; JRB10 trial","","C34",41,397,124,,"0-120","completely resected T2N0 and T1-2N1 tumors","vinorelbine/cisplatin","survival","net.sourceforge.jtds.jdbc.ClobImpl@756355d5",false,false,false,"not related to","",true,false,false
226,2585,36,"Hokkaido University Dental Hospital, Sapporo","1996-2006","C06",53,60,42,30.5,"","untreated oral SCC who underwent curative surgery","SU","recurrence","net.sourceforge.jtds.jdbc.ClobImpl@699516ae",false,false,false,"associated with bad","DNE mutants",true,true,false
227,2593,36,"Various institutions in Kyushu","1985-2006","C11",16,51,8,30.0,"","","","survival","net.sourceforge.jtds.jdbc.ClobImpl@739095c8",false,false,false,"not related to","",true,false,false

183 rows selected. 

